"Date","Time","SP Coccion Z1","Temp Coccion Z1","Temp Combustion Z1","SP Coccion Z2","Temp Coccion Z2","Temp Combustion Z2","Tiempo Coccion [centesimas de seg]","Quemador 1","Quemador 2","Quemador 3","Llama Z1","Llama Z2"
"2025/04/05","00:00:48","263","261","406","263","260","413","2130","1","1","1","100","100"
"2025/04/05","00:01:48","263","261","406","263","259","413","2130","1","1","1","100","100"
"2025/04/05","00:02:48","263","262","407","263","259","414","2130","1","1","1","100","100"
"2025/04/05","00:03:48","263","262","407","263","259","414","2130","1","1","1","100","100"
"2025/04/05","00:04:48","263","262","407","263","259","413","2130","1","1","1","100","100"
"2025/04/05","00:05:48","263","262","407","263","259","413","2130","1","1","1","100","100"
"2025/04/05","00:06:48","263","262","408","263","258","414","2130","1","1","1","100","100"
"2025/04/05","00:07:48","263","262","408","263","258","414","2130","1","1","1","100","100"
"2025/04/05","00:08:48","263","263","408","263","258","414","2130","1","1","1","100","100"
"2025/04/05","00:09:48","263","263","408","263","258","414","2130","1","1","1","100","100"
"2025/04/05","00:10:48","263","263","409","263","258","414","2130","1","1","1","100","100"
"2025/04/05","00:11:48","263","263","409","263","258","414","2130","1","1","1","96","100"
"2025/04/05","00:12:48","263","264","410","263","258","414","2130","1","1","1","96","100"
"2025/04/05","00:13:48","263","264","410","263","258","414","2130","1","1","1","81","100"
"2025/04/05","00:14:48","263","264","410","263","258","414","2130","1","1","1","8","100"
"2025/04/05","00:15:48","263","264","408","263","258","415","2130","1","1","1","1","100"
"2025/04/05","00:16:48","263","264","403","263","257","416","2130","1","1","1","30","100"
"2025/04/05","00:17:48","263","264","397","263","257","417","2130","1","1","1","20","100"
"2025/04/05","00:18:48","263","264","390","263","257","418","2130","1","1","1","8","100"
"2025/04/05","00:19:48","263","265","389","263","257","418","2130","1","1","1","2","100"
"2025/04/05","00:20:48","263","264","387","263","257","418","2130","1","1","1","38","100"
"2025/04/05","00:21:48","263","264","386","263","257","419","2130","1","1","1","29","100"
"2025/04/05","00:22:48","261","265","385","261","257","419","2130","1","1","1","6","32"
"2025/04/05","00:23:48","261","264","378","261","257","411","2130","1","1","1","1","64"
"2025/04/05","00:24:48","261","264","370","261","257","412","2130","1","1","1","1","68"
"2025/04/05","00:25:48","261","264","363","261","257","414","2130","1","1","1","1","68"
"2025/04/05","00:26:48","261","264","356","261","257","415","2130","1","1","1","1","66"
"2025/04/05","00:27:48","261","264","351","261","257","415","2130","1","1","1","1","65"
"2025/04/05","00:28:48","261","263","347","261","257","416","2130","1","1","1","30","63"
"2025/04/05","00:29:48","261","263","352","261","257","415","2130","1","1","1","70","63"
"2025/04/05","00:30:48","261","263","358","261","257","415","2130","1","1","1","98","67"
"2025/04/05","00:31:48","261","262","363","261","257","415","2130","1","1","1","100","68"
"2025/04/05","00:32:48","261","262","367","261","256","415","2130","1","1","1","100","68"
"2025/04/05","00:33:48","261","262","371","261","257","415","2130","1","1","1","100","69"
"2025/04/05","00:34:48","261","261","375","261","257","415","2130","1","1","1","100","67"
"2025/04/05","00:35:48","261","261","379","261","256","415","2130","1","1","1","100","67"
"2025/04/05","00:36:48","261","260","382","261","256","415","2130","1","1","1","100","66"
"2025/04/05","00:37:48","261","260","385","261","256","415","2130","1","1","1","100","66"
"2025/04/05","00:38:48","261","260","388","261","256","415","2130","1","1","1","100","66"
"2025/04/05","00:39:48","261","260","390","261","256","415","2130","1","1","1","100","67"
"2025/04/05","00:40:48","261","260","392","261","256","415","2130","1","1","1","99","66"
"2025/04/05","00:41:48","261","260","394","261","256","415","2130","1","1","1","94","67"
"2025/04/05","00:42:48","261","260","396","261","256","415","2130","1","1","1","88","65"
"2025/04/05","00:43:48","261","260","398","261","256","415","2130","1","1","1","81","65"
"2025/04/05","00:44:48","261","260","399","261","256","415","2130","1","1","1","77","65"
"2025/04/05","00:45:48","261","260","400","261","256","415","2130","1","1","1","75","64"
"2025/04/05","00:46:48","261","260","401","261","256","416","2130","1","1","1","72","62"
"2025/04/05","00:47:48","261","260","402","261","256","415","2130","1","1","1","67","64"
"2025/04/05","00:48:48","261","261","403","261","256","415","2130","1","1","1","65","62"
"2025/04/05","00:49:48","261","261","404","261","256","415","2130","1","1","1","61","63"
"2025/04/05","00:50:48","261","261","406","261","256","416","2130","1","1","1","57","60"
"2025/04/05","00:51:48","261","261","407","261","256","415","2130","1","1","1","55","62"
"2025/04/05","00:52:48","261","262","406","261","256","415","2130","1","1","1","13","64"
"2025/04/05","00:53:48","261","262","397","261","256","416","2130","1","1","1","29","60"
"2025/04/05","00:54:48","261","262","391","261","256","416","2130","1","1","1","9","58"
"2025/04/05","00:55:48","261","262","385","261","256","415","2130","1","1","1","1","58"
"2025/04/05","00:56:48","261","262","378","261","256","416","2130","1","1","1","16","56"
"2025/04/05","00:57:48","261","262","372","261","256","415","2130","1","1","1","4","57"
"2025/04/05","00:58:48","261","262","370","261","256","416","2130","1","1","1","14","55"
"2025/04/05","00:59:48","261","262","370","261","256","416","2130","1","1","1","29","54"
"2025/04/05","01:00:48","261","262","372","261","256","415","2130","1","1","1","13","55"
"2025/04/05","01:01:48","261","262","374","261","256","414","2130","1","1","1","64","59"
"2025/04/05","01:02:48","261","262","375","261","256","414","2130","1","1","1","53","61"
"2025/04/05","01:03:48","261","262","378","261","256","414","2130","1","1","1","66","63"
"2025/04/05","01:04:48","261","262","382","261","255","414","2130","1","1","1","93","64"
"2025/04/05","01:05:48","261","262","386","261","255","415","2130","1","1","1","62","61"
"2025/04/05","01:06:48","261","262","388","261","255","414","2130","1","1","1","25","66"
"2025/04/05","01:07:48","261","262","390","261","255","414","2130","1","1","1","45","66"
"2025/04/05","01:08:48","261","262","392","261","255","415","2130","1","1","1","46","66"
"2025/04/05","01:09:48","261","262","393","261","255","414","2130","1","1","1","63","67"
"2025/04/05","01:10:48","261","262","395","261","255","415","2130","1","1","1","25","67"
"2025/04/05","01:11:48","261","262","394","261","255","416","2130","1","1","1","16","64"
"2025/04/05","01:12:48","261","262","390","261","255","415","2130","1","1","1","52","64"
"2025/04/05","01:13:48","261","262","388","261","255","416","2130","1","1","1","18","62"
"2025/04/05","01:14:48","261","262","386","261","255","416","2130","1","1","1","1","59"
"2025/04/05","01:15:48","261","262","383","261","255","415","2130","1","1","1","18","61"
"2025/04/05","01:16:48","261","262","382","261","254","416","2130","1","1","1","10","59"
"2025/04/05","01:17:48","261","262","380","261","254","416","2130","1","1","1","5","58"
"2025/04/05","01:18:48","261","262","378","261","254","415","2130","1","1","1","2","59"
"2025/04/05","01:19:48","261","262","378","261","254","415","2130","1","1","1","29","60"
"2025/04/05","01:20:48","261","262","380","261","254","415","2200","1","1","1","3","60"
"2025/04/05","01:21:48","261","262","379","261","254","415","2200","1","1","1","46","59"
"2025/04/05","01:22:48","261","262","380","261","254","415","2200","1","1","1","33","60"
"2025/04/05","01:23:48","261","262","381","261","254","415","2200","1","1","1","38","59"
"2025/04/05","01:24:48","261","262","384","261","254","415","2200","1","1","1","46","60"
"2025/04/05","01:25:48","261","262","386","261","254","415","2200","1","1","1","4","60"
"2025/04/05","01:26:48","261","262","385","261","254","415","2200","1","1","1","7","59"
"2025/04/05","01:27:48","261","262","383","261","254","415","2200","1","1","1","24","59"
"2025/04/05","01:28:48","261","262","384","261","254","415","2200","1","1","1","13","60"
"2025/04/05","01:29:48","261","262","384","261","254","415","2200","1","1","1","18","59"
"2025/04/05","01:30:48","261","262","385","261","254","415","2200","1","1","1","19","62"
"2025/04/05","01:31:48","261","262","385","261","255","415","2200","1","1","1","6","60"
"2025/04/05","01:32:48","261","262","382","261","254","416","2200","1","1","1","16","58"
"2025/04/05","01:33:48","261","262","381","261","254","415","2200","1","1","1","22","59"
"2025/04/05","01:34:48","261","262","380","261","254","416","2200","1","1","1","4","55"
"2025/04/05","01:35:48","261","262","378","261","254","415","2200","1","1","1","10","58"
"2025/04/05","01:36:48","261","262","376","261","254","415","2200","1","1","1","3","59"
"2025/04/05","01:37:48","260","262","374","260","254","413","2200","1","1","1","1","20"
"2025/04/05","01:38:48","260","262","366","260","254","404","2200","1","1","1","1","54"
"2025/04/05","01:39:48","260","262","359","260","254","405","2200","1","1","1","1","49"
"2025/04/05","01:40:48","260","261","353","260","254","404","2200","1","1","1","4","53"
"2025/04/05","01:41:48","260","261","351","260","254","405","2200","1","1","1","21","50"
"2025/04/05","01:42:48","260","261","354","260","254","404","2200","1","1","1","33","56"
"2025/04/05","01:43:48","260","261","360","260","254","404","2200","1","1","1","36","55"
"2025/04/05","01:44:48","260","260","366","260","254","405","2200","1","1","1","100","55"
"2025/04/05","01:45:48","260","260","370","260","254","404","2200","1","1","1","100","58"
"2025/04/05","01:46:48","260","260","374","260","254","404","2200","1","1","1","63","37"
"2025/04/05","01:47:48","260","260","378","260","254","400","2200","1","1","1","65","52"
"2025/04/05","01:48:48","260","260","382","260","254","400","2200","1","1","1","53","51"
"2025/04/05","01:49:48","260","260","385","260","254","400","2200","1","1","1","44","53"
"2025/04/05","01:50:48","260","259","386","260","254","399","2200","1","1","1","40","55"
"2025/04/05","01:51:48","260","260","388","260","254","400","2200","1","1","1","32","54"
"2025/04/05","01:52:48","260","260","390","260","254","400","2200","1","1","1","24","51"
"2025/04/05","01:53:48","260","260","389","260","254","400","2200","1","1","1","41","53"
"2025/04/05","01:54:48","260","260","390","260","254","400","2200","1","1","1","29","53"
"2025/04/05","01:55:48","260","260","390","260","253","400","2200","1","1","1","8","52"
"2025/04/05","01:56:48","260","260","388","260","253","400","2200","1","1","1","29","52"
"2025/04/05","01:57:48","260","260","386","260","253","400","2200","1","1","1","36","54"
"2025/04/05","01:58:48","260","260","386","260","253","400","2200","1","1","1","8","53"
"2025/04/05","01:59:48","260","260","384","260","253","400","2200","1","1","1","3","54"
"2025/04/05","02:00:48","260","260","379","260","253","400","2200","1","1","1","5","51"
"2025/04/05","02:01:48","260","260","376","260","253","400","2200","1","1","1","11","54"
"2025/04/05","02:02:48","260","260","372","260","253","400","2200","1","1","1","10","51"
"2025/04/05","02:03:48","260","260","370","260","253","400","2200","1","1","1","36","53"
"2025/04/05","02:04:48","260","260","371","260","252","400","2200","1","1","1","6","53"
"2025/04/05","02:05:48","260","260","371","260","252","400","2200","1","1","1","7","53"
"2025/04/05","02:06:48","260","260","372","260","252","400","2200","1","1","1","7","52"
"2025/04/05","02:07:48","260","260","374","260","252","399","2200","1","1","1","40","55"
"2025/04/05","02:08:48","260","260","376","260","252","400","2200","1","1","1","50","56"
"2025/04/05","02:09:48","260","260","379","260","252","400","2200","1","1","1","40","55"
"2025/04/05","02:10:48","260","260","380","260","252","400","2200","1","1","1","58","56"
"2025/04/05","02:11:48","260","260","382","260","252","400","2200","1","1","1","51","57"
"2025/04/05","02:12:48","260","260","385","260","252","401","2100","1","1","1","34","98"
"2025/04/05","02:13:48","260","260","385","260","252","404","2100","1","1","1","12","98"
"2025/04/05","02:14:48","260","260","383","260","252","406","2100","1","1","1","24","98"
"2025/04/05","02:15:48","260","260","381","260","252","408","2100","1","1","1","39","94"
"2025/04/05","02:16:48","260","260","381","260","252","410","2100","1","1","1","5","91"
"2025/04/05","02:17:48","260","260","379","260","252","411","2100","1","1","1","6","88"
"2025/04/05","02:18:48","260","260","379","260","252","411","2100","1","1","1","17","85"
"2025/04/05","02:19:48","260","260","378","260","252","412","2100","1","1","1","12","81"
"2025/04/05","02:20:48","260","260","376","260","252","413","2100","1","1","1","15","72"
"2025/04/05","02:21:48","260","260","377","260","252","412","2100","1","1","1","15","70"
"2025/04/05","02:22:48","260","260","376","260","252","412","2100","1","1","1","31","67"
"2025/04/05","02:23:48","260","260","376","260","252","412","2100","1","1","1","16","66"
"2025/04/05","02:24:48","260","260","376","260","252","412","2100","1","1","1","22","61"
"2025/04/05","02:25:48","260","260","378","260","252","411","2100","1","1","1","18","61"
"2025/04/05","02:26:48","260","260","378","260","252","411","2100","1","1","1","23","61"
"2025/04/05","02:27:48","260","260","379","260","252","411","2100","1","1","1","11","59"
"2025/04/05","02:28:48","260","260","380","260","252","411","2100","1","1","1","36","57"
"2025/04/05","02:29:48","260","260","382","260","253","411","2100","1","1","1","24","55"
"2025/04/05","02:30:48","260","260","382","260","253","411","2100","1","1","1","35","52"
"2025/04/05","02:31:48","260","260","381","260","253","410","2100","1","1","1","39","55"
"2025/04/05","02:32:48","260","260","383","260","253","409","2100","1","1","1","5","58"
"2025/04/05","02:33:48","260","260","382","260","253","410","2100","1","1","1","18","56"
"2025/04/05","02:34:48","260","260","381","260","253","410","2100","1","1","1","4","57"
"2025/04/05","02:35:48","260","260","379","260","253","410","2100","1","1","1","18","57"
"2025/04/05","02:36:48","260","260","379","260","253","410","2100","1","1","1","2","58"
"2025/04/05","02:37:48","260","260","379","260","253","410","2100","1","1","1","44","57"
"2025/04/05","02:38:48","260","260","377","260","253","411","2100","1","1","1","1","55"
"2025/04/05","02:39:48","260","260","375","260","253","410","2100","1","1","1","28","57"
"2025/04/05","02:40:48","260","260","376","260","253","410","2100","1","1","1","39","57"
"2025/04/05","02:41:48","260","260","377","260","253","410","2100","1","1","1","36","56"
"2025/04/05","02:42:48","260","260","378","260","253","410","2100","1","1","1","74","57"
"2025/04/05","02:43:48","260","260","378","260","253","410","2100","1","1","1","13","58"
"2025/04/05","02:44:48","260","260","379","260","253","410","2100","1","1","1","25","57"
"2025/04/05","02:45:48","260","260","380","260","253","410","2100","1","1","1","3","58"
"2025/04/05","02:46:48","260","260","380","260","253","410","2100","1","1","1","37","56"
"2025/04/05","02:47:48","260","260","382","260","253","410","2100","1","1","1","1","55"
"2025/04/05","02:48:48","260","260","380","260","253","410","2100","1","1","1","19","55"
"2025/04/05","02:49:48","260","260","379","260","253","409","2100","1","1","1","47","59"
"2025/04/05","02:50:48","260","260","378","260","253","410","2100","1","1","1","22","59"
"2025/04/05","02:51:48","260","260","377","260","253","411","2100","1","1","1","15","55"
"2025/04/05","02:52:48","260","260","377","260","253","410","2100","1","1","1","6","55"
"2025/04/05","02:53:48","260","260","374","260","253","410","2100","1","1","1","23","56"
"2025/04/05","02:54:48","260","260","376","260","253","409","2100","1","1","1","43","61"
"2025/04/05","02:55:48","260","260","377","260","253","410","2100","1","1","1","23","59"
"2025/04/05","02:56:48","260","260","378","260","253","409","2100","1","1","1","16","62"
"2025/04/05","02:57:48","260","260","377","260","253","410","2100","1","1","1","43","59"
"2025/04/05","02:58:48","260","260","378","260","253","410","2100","1","1","1","41","60"
"2025/04/05","02:59:48","260","260","378","260","253","410","2100","1","1","1","30","58"
"2025/04/05","03:00:48","260","260","380","260","253","410","2100","1","1","1","38","57"
"2025/04/05","03:01:48","260","260","381","260","253","411","2100","1","1","1","12","55"
"2025/04/05","03:02:48","260","260","379","260","253","411","2100","1","1","1","9","54"
"2025/04/05","03:03:48","260","260","381","260","253","410","2100","1","1","1","15","55"
"2025/04/05","03:04:48","260","260","380","260","253","410","2100","1","1","1","7","53"
"2025/04/05","03:05:48","260","260","379","260","253","410","2100","1","1","1","28","54"
